                mar1  chr1               mar2 chr2 fem  mal    LOD
          AFMa244yd5  1            GATA112E02  3  0.00 0.50   3.31
          AFMb319wb1  1             AFM276vc9  3  0.10 0.50   3.45
          AFMb319wb1  1             AFM336zb5  3  0.10 0.50   3.20
          AFMb319wb1  1             GGAA22H08  3  0.10 0.50   3.20
          AFMb319wb1  1             AFM312yf5  3  0.10 0.45   3.52
          AFMb319wb1  1            AFMa108yc1  3  0.10 0.50   3.45
          AFMb319wb1  1            GATA112E02  3  0.00 0.50   3.31
          AFMb319wb1  1             AFM207wb4  3  0.00 0.50   3.31
          AFMb319wb1  1             AFM220xg3  3  0.00 0.50   3.31
          AFMb319wb1  1             AFM339xh1  3  0.00 0.50   3.31
          AFMb319wb1  1             AFM164we1  3  0.00 0.50   3.31
          AFMb319wb1  1              GATA8B05  3  0.00 0.50   3.31
          AFMb319wb1  1            AFMb314yh1  3  0.00 0.50   3.31
          AFMb319wb1  1                UT6506  3  0.00 0.00   3.31
          AFMb319wb1  1            AFMc016yd9  3  0.00 0.50   3.31
          AFMb319wb1  1                UT5662  3  0.00 0.50   3.31
           AFM077xg1  1            GATA112E02  3  0.00 0.44   3.38
           AFM094tb7  1            GATA112E02  3  0.00 0.50   3.31
           AFM311wb1  1            GATA112E02  3  0.00 0.41   3.61
            ATA79C10  1            GATA112E02  3  0.00 0.43   3.17
            ATA79C10  1             AFM256ya9  3  0.21 0.42   3.09
          AFMa107wf9  1            GATA112E02  3  0.00 0.33   3.83
          AFMa107wf9  1            AFMb314yh1  3  0.00 0.30   4.38
          AFMa107wf9  1                UT6506  3  0.00 0.00   3.31
           AFM269xd5  1            GATA112E02  3  0.00 0.33   3.98
           AFM234xb2  1            GATA112E02  3  0.00 0.50   3.31
           AFM234xb2  1            AFMa231xe9  3  0.17 0.50   3.19
          GATA137F01  1            GATA112E02  3  0.00 0.40   3.53
          GATA137F01  1                UT6506  3  0.05 0.00   4.00
          GATA137F01  1            AFMa072zh5  3  0.17 0.44   3.58
          GATA137F01  1              GATA6F06  3  0.21 0.46   3.12
              UT7270  1            GATA112E02  3  0.00 0.48   3.02
              UT7270  1            AFMc016yd9  3  0.06 0.45   3.80
           AFM329xd5  1            GATA112E02  3  0.00 0.42   3.56
          AFMa190zc5  1            GATA112E02  3  0.00 0.50   3.31
          AFMa190zc5  1                UT6506  3  0.10 0.00   3.15
              UT5144  1            AFMa108yc1  3  0.00 0.50   3.31
              UT5144  1            GATA112E02  3  0.00 0.47   3.33
              UT5144  1            AFMc016yd9  3  0.00 0.44   3.37
           AFM205xd2  1            GATA112E02  3  0.00 0.31   4.08
           AFM205xd2  1                UT5662  3  0.00 0.50   3.01
           AFM205xd2  1            AFMa344zg5  3  0.19 0.39   3.23
           AFM205xd2  1            AFMb352xe1  3  0.24 0.26   3.30
           AFM205xd2  1             AFM220yh4  3  0.21 0.50   3.28
           AFM205xd2  1             AFM256ya9  3  0.18 0.49   3.69
             ATA7G11  1            GATA112E02  3  0.00 0.22   3.95
             ATA7G11  1                UT6506  3  0.00 0.00   4.82
             ATA7G11  1                UT5662  3  0.05 0.50   4.02
             ATA7G11  1            AFMb283ya5  3  0.17 0.50   3.29
             ATA7G11  1            AFMb059wf1  3  0.20 0.50   3.56
             ATA7G11  1             GGAA13D09  3  0.21 0.36   3.80
             ATA7G11  1                UT1458  3  0.00 0.50   4.52
             ATA7G11  1            AFMa072zh5  3  0.21 0.50   3.15
             ATA7G11  1              GATA6F06  3  0.17 0.50   3.57
          AFMb037xf1  1            GATA112E02  3  0.00 0.42   3.60
          AFMb037xf1  1                UT6506  3  0.00 0.00   3.31
          AFMb037xf1  1                UT5662  3  0.00 0.50   3.31
             ATA4E01  1            AFMa231xe9  3  0.14 0.40   3.10
              UT5176  1            GATA112E02  3  0.00 0.48   3.02
              UT7056  1             GATA52H09  3  0.00 0.00   3.31
           AFM323xa9  1                 Mfd76  3  0.17 0.00   3.54
           AFM116xb2  1            AFMa162wd9  3  0.33 0.31   3.17
           AFM116xb2  1             GATA63E04  3  0.34 0.31   3.05
           AFM116xb2  1             AFM340xf1  3  0.35 0.31   3.18
            GATA6A05  1            AFMa162wd9  3  0.41 0.23   3.71
            GATA6A05  1            AFMa100ze1  3  0.36 0.19   3.20
            GATA6A05  1            AFM238xb10  3  0.33 0.13   3.05
          AFM184xe11  1                 UT439  3  0.11 0.28   3.33
           GATA65B07  1              ATA25A07  3  0.36 0.19   3.10
           GATA65B07  1            AFM238xb10  3  0.33 0.10   3.45
          AFMb320yf1  1            AFMa162wd9  3  0.48 0.24   3.03
             ATA2E04  1             GATA88E12  3  0.00 0.50   3.01
             ATA2E04  1             AFM001za2  3  0.09 0.45   3.75
             ATA2E04  1             AFM154xa7  3  0.14 0.37   3.10
           GATA45B07  1            AFMa162wd9  3  0.50 0.00   3.91
